Date,Description,Category,Amount
8/1/2024,晚餐 12 迷你鍋,F&B,170.00 
8/2/2024,烤奶,F&B,60.00 
8/2/2024,T-shirt,Wishlist,300.00 
8/2/2024,gogoro(饒河夜市回家),Transportation,28.00 
8/2/2024,晚餐牛排,F&B,200.00 
8/3/2024,早餐店,F&B,105.00 
8/3/2024,乾髮帽,Personal Care,222.00 
8/3/2024,飲料,F&B,57.00 
8/3/2024,晚餐雞肉飯,F&B,150.00 
8/3/2024,裙子,Wishlist,600.00 
8/4/2024,冷凍飯,F&B,155.00 
8/4/2024,KFC,F&B,190.00 
8/4/2024,7-11焗烤飯,F&B,58.00 
8/5/2024,牙膏隱形眼睛水,Personal Care,208.00 
8/5/2024,晚餐7/11,F&B,114.00 
8/5/2024,路易莎,F&B,35.00 
8/6/2024,牛奶芋頭面包豆腐,F&B,128.00 
8/6/2024,雲泰,F&B,220.00 
8/7/2024,辣椒番茄莧菜黃瓜,F&B,145.00 
8/8/2024,延三溫體牛套餐,F&B,145.00 
8/8/2024,去BIM面試買水,F&B,12.00 
8/9/2024,鐵板燒,F&B,160.00 
8/9/2024,冰淇淋,F&B,45.00 
8/10/2024,意大利麵,F&B,79.00 
8/10/2024,八方雲集,F&B,125.00 
8/12/2024,Boca cafe 茶酒,F&B,210.00 
8/12/2024,番茄肉絲飯,F&B,43.00 
8/12/2024,家樂福,F&B,197.00 
8/12/2024,拉麵麵餅,F&B,85.00 
8/12/2024,7-11健康飯果汁,F&B,125.00 
8/13/2024,番茄烏冬面,F&B,149.00 
8/13/2024,NET T-Shirt,Wishlist,259.00 
8/13/2024,書包 （NET）,Wishlist,499.00 
8/13/2024,全家飲料,F&B,30.00 
8/13/2024,悠遊卡儲值,Transportation,200.00 
8/14/2024,酒，牛奶（美聯社）,F&B,125.00 
8/14/2024,越南餐,F&B,110.00 
8/14/2024,保護膜,Mobile,266.00 
8/15/2024,三媽鍋,F&B,170.00 
8/15/2024,奶黃包芝麻包,F&B,75.00 
8/16/2024,台哥大,Mobile,599.00 
8/16/2024,房租,House Rent,9300.00 
8/17/2024,韓國餐,F&B,200.00 
8/17/2024,alcohol,F&B,78.00 
8/17/2024,woopen bagel + coffee,F&B,218.00 
8/18/2024,Pasar,F&B,291.00 
8/18/2024,Thai style food,F&B,200.00 
8/19/2024,麥仔茶+焗烤飯,F&B,102.00 
8/20/2024,滷味,F&B,135.00 
8/21/2024,鷄肉飯,F&B,180.00 
8/22/2024,北投肉羹,F&B,
8/22/2024,枕頭套洗髮水内衣,Personal Care,927.00 
8/22/2024,豬脚飯,F&B,120.00 
8/23/2024,擔擔麵,F&B,125.00 
8/24/2024,sukiya,F&B,174.00 
8/24/2024,拉麵,F&B,260.00 
8/24/2024,咖啡,F&B,50.00 
8/24/2024,悠游卡,Transportation,200.00 
8/25/2024,越南河粉,F&B,99.00 
8/25/2024,沐浴乳,Personal Care,46.00 
8/26/2024,7-11粥鷄塊菊花茶,F&B,98.00 
8/27/2024,popeyes,F&B,237.00 
8/27/2024,louisa青檸茶,F&B,40.00 
8/28/2024,7月11日,F&B,119.00 
8/28/2024,茶酒泡麵,F&B,219.00 
8/28/2024,麵綫,F&B,70.00 
8/29/2024,愛宴,F&B,120.00 
8/30/2024,吃你豆腐,F&B,210.00 
8/30/2024,悠游卡,Transportation,200.00 
8/30/2024,咖啡,F&B,50.00 
8/30/2024,鷄排飯,F&B,115.00 
8/31/2024,wemo,Transportation,100.00 
8/31/2024,goshare,Transportation,73.00 
8/31/2024,qburger,F&B,150.00 
