Date,Description,Category,Amount
7/1/2024,Income,Income,44800
7/1/2024,dinner,F&B,$80.00
7/1/2024,KWSP （TW）,KWSP （TW）,"$1,688.00"
7/2/2024,dinner,F&B,$82.00
7/2/2024,topup,Transportation,$200.00
7/3/2024,lunch,F&B,$75.00
7/3/2024,dinner,F&B,$95.00
7/3/2024,drink,F&B,$60.00
7/4/2024,dinner,F&B,$356.00
7/4/2024,酒,F&B,$381.00
7/5/2024,Louisa,F&B,$45.00
7/5/2024,Gogoro,Transportation,$20.00
7/5/2024,dinner,F&B,$125.00
7/5/2024,gogoro,Transportation,$103.00
7/5/2024,去簽租約的Gogoro,Transportation,$25.00
7/6/2024,house rent,House Rent,"$3,000.00"
7/6/2024,lunch,F&B,$144.00
7/6/2024,carrefore,Necessities,$170.00
7/6/2024,搬家費用,House Rent,$500.00
7/7/2024,杯子湯匙,Necessities,$108.00
7/7/2024,定食8,F&B,$250.00
7/7/2024,飲料,F&B,$35.00
7/7/2024,lunch,F&B,$100.00
7/8/2024,Dinner,F&B,$100.00
7/9/2024,護墊,Personal Care,$69.00
7/9/2024,Dinner,F&B,$130.00
7/10/2024,炒飯,F&B,$100.00
7/10/2024,watermelon juice,F&B,$50.00
7/11/2024,培根起司堡,F&B,$80.00
7/11/2024,彼特好,F&B,$50.00
7/11/2024,Lisa泰國餐,F&B,$170.00
7/12/2024,滷肉飯+肉羹,F&B,$90.00
7/12/2024,Top Up,Transportation,$200.00
7/12/2024,Louisa,F&B,$54.00
7/12/2024,冰霸杯,,$229.00
7/12/2024,番茄烏冬麵,F&B,$149.00
7/13/2024,麻薯冰,F&B,$50.00
7/13/2024,瓦斯費,Utilities,$111.00
7/13/2024,午餐,F&B,$110.00
7/13/2024,咖啡,F&B,$50.00
7/13/2024,牛排,F&B,$180.00
7/14/2024,早餐+咖啡,F&B,$115.00
7/14/2024,午餐早餐店,F&B,$105.00
7/14/2024,烏龍面,F&B,$150.00
7/14/2024,家樂福,Necessities,$500.00
7/15/2024,阮小月,F&B,$170.00
7/15/2024,肉+金針菇,F&B,$95.00
7/15/2024,酒,F&B,$145.00
7/15/2024,大同舊家水電,Utilities,$300.00
7/16/2024,麥當勞,F&B,$150.00
7/17/2024,7/11焗烤飯,F&B,$89.00
7/17/2024,永春牛肉麵,F&B,$200.00
7/18/2024,豬腳便當,F&B,$120.00
7/18/2024,涼麵,F&B,$100.00
7/18/2024,Lipton飲料,F&B,$30.00
7/18/2024,房租,House Rent,"$9,000.00"
7/19/2024,三媽麻辣鍋,F&B,$170.00
7/19/2024,家樂福,Necessities,$518.00
7/20/2024,飯糰,F&B,$39.00
7/20/2024,良良海南雞飯 （永春）- 不好吃,F&B,$190.00
7/20/2024,泰好味,F&B,$190.00
7/20/2024,枕頭,,$999.00
7/20/2024,Gogoro 去大潤發,Transportation,$30.00
7/20/2024,Gogoro 大潤發回家,Transportation,$38.00
7/21/2024,麥味登,F&B,$130.00
7/21/2024,大潤發買菜,F&B,$210.00
7/21/2024,鮭魚炒飯,F&B,$43.00
7/21/2024,桶子,Necessities,$29.00
7/21/2024,炒飯,F&B,$40.00
7/22/2024,Steak,F&B,$180.00
7/22/2024,mobile internet,Mobile,$599.00
7/23/2024,Lunch,F&B,$105.00
7/23/2024,紫菜,F&B,$128.00
7/23/2024,口罩,Personal Care,$119.00
7/23/2024,拉麵,F&B,$180.00
7/23/2024,咖啡,F&B,$50.00
7/23/2024,啤酒,F&B,$156.00
7/23/2024,罐頭,F&B,$47.00
7/25/2024,美聯社買maggi和餅乾,F&B,$100.00
7/25/2024,便當,F&B,$115.00
7/26/2024,粥大福,F&B,$130.00
7/27/2024,道食樂 - 很好吃！！！,F&B,$200.00
7/27/2024,咖啡,F&B,$50.00
7/27/2024,oden sushi,F&B,$145.00
7/28/2024,Lunch,F&B,$526.00
7/28/2024,darunfa,Necessities,$436.00
7/28/2024,Gogoro,Transportation,$38.00
7/29/2024,越南餐 咖喱米線,F&B,$90.00
7/31/2024,Oguri cafe (sandwich + coffee),F&B,$185.00
7/31/2024,悠遊卡topup,Transportation,$200.00
7/31/2024,牛味牛肉麵 - 好吃！,F&B,$180.00
